D4-Exceptional Drought,D3-Extreme Drought,D2-Severe Drought,D1-Moderate Drought,D0-Abnormally Dry,No Drought,year,month,DSCI
0.0,0.0,0.0,0.0,3.57,96.43,2019,12,3.57
0.0,0.0,0.0,0.0,3.57,96.43,2019,12,3.57
0.0,0.0,0.0,0.0,3.57,96.43,2019,12,3.57
0.0,0.0,0.0,0.0,3.57,96.43,2019,12,3.57
0.0,0.0,0.0,0.01,85.26,14.74,2019,12,85.28
0.0,0.0,0.01,3.31,90.78,9.22,2019,11,97.43
0.0,0.0,0.01,3.59,81.45,18.55,2019,11,88.66
0.0,0.0,0.01,3.57,81.39,18.61,2019,11,88.56
0.0,0.0,0.0,2.06,17.74,82.26,2019,11,21.86
0.0,0.0,0.0,2.06,17.74,82.26,2019,10,21.86
0.0,0.0,0.0,2.06,17.74,82.26,2019,10,21.86
0.0,0.0,0.0,2.06,14.6,85.4,2019,10,18.72
0.0,0.0,0.0,2.06,4.71,95.29,2019,10,8.83
0.0,0.0,0.0,2.06,4.71,95.29,2019,10,8.83
0.0,0.0,0.0,2.06,10.27,89.73,2019,9,14.39
0.0,0.0,0.0,2.06,10.39,89.61,2019,9,14.510000000000002
0.0,0.0,0.01,1.09,9.06,90.94,2019,9,11.27
0.0,0.0,0.0,1.09,9.06,90.94,2019,9,11.24
0.0,0.0,0.0,1.09,9.06,90.94,2019,8,11.24
0.0,0.0,0.0,0.0,6.73,93.27,2019,8,6.73
0.0,0.0,0.0,0.0,5.93,94.07,2019,8,5.93
0.0,0.0,0.0,0.0,4.45,95.55,2019,8,4.45
0.0,0.0,0.0,0.0,4.32,95.68,2019,7,4.32
0.0,0.0,0.0,0.0,4.32,95.68,2019,7,4.32
0.0,0.0,0.0,0.0,4.32,95.68,2019,7,4.32
0.0,0.0,0.0,0.0,4.32,95.68,2019,7,4.32
0.0,0.0,0.0,0.0,4.32,95.68,2019,7,4.32
0.0,0.0,0.0,0.0,4.32,95.68,2019,6,4.32
0.0,0.0,0.0,0.0,4.32,95.68,2019,6,4.32
0.0,0.0,0.0,0.0,4.32,95.68,2019,6,4.32
0.0,0.0,0.0,0.0,4.32,95.68,2019,6,4.32
0.0,0.0,0.0,0.0,5.97,94.03,2019,5,5.97
0.0,0.0,0.0,0.0,5.97,94.03,2019,5,5.97
0.0,0.0,0.0,0.0,5.97,94.03,2019,5,5.97
0.0,0.0,0.0,0.0,5.97,94.03,2019,5,5.97
0.0,0.0,0.0,0.0,5.97,94.03,2019,4,5.97
